,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
0,death,,,,0.0,0.0,320,40.68125,5.648973219754188,320
1,Linguistic,-0.1440498546611772,0.009873486686538256,Negative,75.62934375,3.17978712052174,320,40.68125,5.648973219754188,320
2,insight,0.08064397498792271,0.15006465596085555,,3.992,1.3445625682726705,320,40.68125,5.648973219754188,320
3,Dic,-0.14018322613160986,0.012063965177270323,Negative,94.62493749999999,1.6935530316744585,320,40.68125,5.648973219754188,320
4,tentat,-0.011617268137105768,0.8360022423716408,,2.5605625,1.4852761724991586,320,40.68125,5.648973219754188,320
5,space,0.013390722657861901,0.8114050346635301,,6.5453125,1.4977484860095,320,40.68125,5.648973219754188,320
6,friend,-0.18602979183909574,0.0008257488131917433,Negative,0.39575,0.3080341904724214,320,40.68125,5.648973219754188,320
7,fatigue,-0.03704282046396109,0.5090769480674152,,0.010312499999999999,0.05172549993716832,320,40.68125,5.648973219754188,320
8,attention,-0.03936431937988833,0.4828745397689713,,1.0049375,0.7022735372301522,320,40.68125,5.648973219754188,320
9,Physical,0.00289391645373194,0.9588749287365874,,0.4874375000000001,0.4188790799189547,320,40.68125,5.648973219754188,320
10,lack,0.001920880381297615,0.9726958835703845,,0.06612499999999999,0.2042286938091707,320,40.68125,5.648973219754188,320
11,prep,-0.04894438529385032,0.3828589819752596,,13.466437500000001,1.4711468089873796,320,40.68125,5.648973219754188,320
12,power,0.04371104739750889,0.4358385879412857,,0.9340624999999999,0.6020873035480403,320,40.68125,5.648973219754188,320
13,emo_anx,-0.10382075933698981,0.06360335828463368,,0.6399375,0.7071659961379294,320,40.68125,5.648973219754188,320
14,adverb,-0.08655974945386048,0.12228095616131873,,7.185437500000001,1.998118598480518,320,40.68125,5.648973219754188,320
15,ethnicity,-0.07213952145464686,0.19805994396461113,,0.001375,0.01735610483374654,320,40.68125,5.648973219754188,320
16,focuspresent,0.09051599457671801,0.1060549355851873,,0.6260312499999999,0.5724854247257631,320,40.68125,5.648973219754188,320
17,nonflu,,,,0.0,0.0,320,40.68125,5.648973219754188,320
18,focuspast,-0.023723171721733452,0.6724617572063486,,10.156,1.6450965777120807,320,40.68125,5.648973219754188,320
19,tone_neg,-0.058863623077186164,0.2938218605157021,,1.50503125,1.1900659116298715,320,40.68125,5.648973219754188,320
20,time,-0.10956389772056706,0.050210348215943786,,5.05421875,1.365391661629892,320,40.68125,5.648973219754188,320
21,motion,-0.04881118912474064,0.38415668553195237,,1.58203125,0.8027760033305912,320,40.68125,5.648973219754188,320
22,Social,-0.05239658873495848,0.3501632574457798,,9.729375000000001,2.341710829580587,320,40.68125,5.648973219754188,320
23,verb,-0.06771037192196555,0.227090850965069,,16.485468750000003,1.9704473870858459,320,40.68125,5.648973219754188,320
24,discrep,0.019853395737070647,0.7234937078587631,,1.2954374999999998,0.6616837867091425,320,40.68125,5.648973219754188,320
25,prosocial,0.07505683286262892,0.18047528255926737,,1.3295937500000001,0.7778083134429314,320,40.68125,5.648973219754188,320
26,memory,-0.01988146252588316,0.7231188083881728,,0.23078125,0.34595115572640817,320,40.68125,5.648973219754188,320
27,socbehav,0.00697876708422547,0.9010358166209351,,4.212625,1.110047007732105,320,40.68125,5.648973219754188,320
28,cogproc,-0.021695615153408104,0.699030354605799,,11.645406249999999,2.9572217468361988,320,40.68125,5.648973219754188,320
29,emo_neg,-0.06455649654620714,0.249524919775543,,0.9685312500000001,0.8873728952776491,320,40.68125,5.648973219754188,320
30,mental,-0.04505410327033335,0.4218554907295953,,0.14837499999999998,0.21841871342675745,320,40.68125,5.648973219754188,320
31,number,-0.044541689495048095,0.427159287516262,,0.38721875,0.3476071088865093,320,40.68125,5.648973219754188,320
32,wellness,-0.025884792201158614,0.6445787000022241,,0.02359375,0.07754368098650914,320,40.68125,5.648973219754188,320
33,Conversation,0.001441431090591151,0.9795092167505335,,0.010312499999999999,0.04844999838751287,320,40.68125,5.648973219754188,320
34,AllPunc,0.07469778605488983,0.18257501462594253,,12.12525,1.5238515962848878,320,40.68125,5.648973219754188,320
35,male,-0.03675259679212942,0.5124040111129695,,0.12028124999999998,0.29771984884860714,320,40.68125,5.648973219754188,320
36,allnone,-0.1291630263270602,0.020822586443324416,Negative,1.8935937500000002,1.0919869607559138,320,40.68125,5.648973219754188,320
37,you,0.005637242020812389,0.9199884854919352,,0.0016250000000000001,0.02050571566661354,320,40.68125,5.648973219754188,320
38,WPS,0.03406544672595992,0.5437362379196737,,16.106625,1.6597572817659214,320,40.68125,5.648973219754188,320
39,illness,0.05991579499205844,0.2852624316974679,,0.0044375,0.04296432931805175,320,40.68125,5.648973219754188,320
40,OtherP,0.02447245393197073,0.6627433224595656,,0.26678125,0.31408689426405156,320,40.68125,5.648973219754188,320
41,pronoun,0.08741595652653826,0.11861494453759631,,16.576749999999997,1.7412210334991935,320,40.68125,5.648973219754188,320
42,Tone,0.07858705673373968,0.16077298781633506,,79.61475,23.987063530421974,320,40.68125,5.648973219754188,320
43,tech,0.04048054890304102,0.470540349749642,,0.10984374999999999,0.221367145452837,320,40.68125,5.648973219754188,320
44,home,0.07702758640158747,0.16926722483558468,,0.2868125,0.3299211494338458,320,40.68125,5.648973219754188,320
45,emo_sad,0.08947453621851245,0.11015178027030131,,0.078,0.16087378593170487,320,40.68125,5.648973219754188,320
46,we,-0.09866250040093284,0.07801458922127331,,0.56065625,0.966412441370628,320,40.68125,5.648973219754188,320
