Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
male_int_agr_con_emo_ope_run3.txt,1,410,45.5,7.17,99,95.31,16.4,16.59,94.39,72.2,57.32,14.63,13.17,11.95,0.24,0,0,0,1.46,12.44,6.59,0.73,13.9,8.78,5.37,9.76,0,15.37,8.54,2.2,5.12,2.2,2.2,0.73,9.51,0.98,8.54,3.41,0.24,0.73,1.95,0,1.71,0,9.02,7.32,1.46,3.17,2.44,0.49,0,0.24,0.24,0,12.2,5.85,2.2,0.98,0,0,0.73,5.37,2.2,0,0.24,0.49,0,0,0,0,2.68,0.24,0.73,0.73,0.98,0.24,0.24,0,0,0,0,0,0,0,0,0.24,0,0.73,0,0,0,0.49,0.98,2.44,7.07,13.17,1.46,1.95,9.51,0.49,0,0.24,4.88,10.49,0.24,0.24,0,0,0,0,0,9.51,6.1,3.41,0,0,0,0,0
male_ext_agr_unc_emo_clo_run3.txt,1,380,24.2,6.95,98.9,97.62,19,18.68,95.53,79.47,63.95,17.37,14.47,12.11,0.26,0,0,0.79,2.89,11.84,5.26,0.26,13.95,9.21,7.63,10.53,0.26,16.58,8.16,3.16,6.32,3.16,2.63,0.53,14.47,3.68,10.79,4.47,1.58,1.05,1.32,0,1.58,1.05,10.26,7.89,1.32,4.47,2.63,0.79,0.79,0,0,0,9.21,3.42,2.11,0,0,0.26,0,5.53,1.05,0.79,0,0,0.26,0,0,0.26,2.63,0.79,0.53,1.32,0.53,0,0.26,0,0,0,0,0,0,0,0,0.26,0,0.26,0,0.26,0,1.05,0.26,1.58,6.32,7.89,0.53,1.32,6.05,0.26,0,0.53,6.32,9.74,1.32,0.79,0,0,0,0,0,9.21,5,3.95,0,0.26,0,0,0
male_int_agr_con_emo_clo_run1.txt,1,427,17.66,1,99,98.1,16.42,24.12,92.27,75.18,58.31,18.03,15.46,14.75,0,0,0,0.7,2.58,10.07,3.51,0.23,11.94,7.73,7.73,10.3,0.47,15.46,8.2,3.51,5.85,2.34,2.34,1.17,13.35,1.17,12.18,3.28,0.47,1.64,3.28,0.23,4.22,0,8.9,7.49,0.7,3.51,2.11,0.7,0,0.23,0.23,0,10.3,6.09,2.58,0.23,0,0.23,1.17,3.04,1.64,0.47,0,0,0.94,0,0,0.94,6.79,2.81,0.47,3.04,0.7,0,0.47,0.23,0,0.23,0,0,0,0,0,0.23,0.23,0.47,0,0,0,0,0.23,0.94,2.11,7.73,0.7,1.17,5.39,0,0.47,0,5.62,10.54,0,0,0.23,0,0.23,0,0,14.05,6.09,7.26,0,0,0.47,0.23,0
male_int_ant_unc_emo_ope_run2.txt,1,442,48.08,1.86,99,86.6,21.05,18.1,93.67,76.24,64.03,17.65,14.25,12.44,0.9,0,0,0.9,3.39,14.25,7.47,0,16.97,8.14,5.88,8.82,1.13,16.29,5.2,1.81,6.11,2.71,1.81,1.58,15.38,1.36,14.03,4.07,1.13,1.36,2.71,0.45,4.3,0,6.11,5.2,0.68,2.04,1.36,0.45,0.23,0,0.23,0,10.41,5.43,1.58,0,0,0,2.04,4.75,0.68,0.23,0,0,0,0,0,0,2.94,1.36,0.45,0.68,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.23,0.23,2.49,5.2,13.8,1.13,1.36,8.37,0.23,0.9,1.81,2.49,7.69,1.36,0,0,0,0,0,0,12.22,4.75,6.11,0,0,0.9,0.45,0
male_ext_ant_con_neu_ope_run3.txt,1,411,48.57,7.22,99,62.36,15.22,20.19,90.51,72.02,58.15,12.9,11.92,10.95,0.97,0,0,0,0.97,12.65,7.3,0.49,13.63,8.27,6.33,10.46,0,15.82,6.81,4.14,3.89,2.92,0.24,0.73,15.33,1.95,13.38,6.08,1.7,1.95,1.46,0,3.16,0.73,4.14,3.41,0.73,0.49,0.49,0,0,0,0,0,8.52,3.65,0.97,0.24,0.24,0.24,0.73,5.11,2.19,0.24,0,0.24,0,0,0,0,3.65,1.95,0,0.97,0.73,0,0.24,0,0,0,0,0,0,0,0,0,0.24,1.7,0,0.24,0,0.24,0.24,4.87,3.65,13.14,2.19,1.95,8.03,1.7,0,0.73,4.62,7.54,0,0.24,0,0,0,0,0,12.65,6.57,6.08,0,0,0,0,0
male_int_ant_unc_neu_ope_run1.txt,1,436,21.28,1,99,9.26,16.77,14.45,96.79,81.88,66.51,17.2,13.3,12.16,0,0,0,0.23,3.9,11.47,5.28,0.46,16.06,8.26,11.01,8.72,3.21,19.5,7.11,2.29,2.98,1.38,0.69,0.92,26.38,5.28,21.1,5.28,2.06,2.06,4.59,2.52,6.42,0.23,6.65,2.75,3.9,3.67,0.69,2.98,2.06,0.69,0,0,6.88,2.98,0.23,0,0.92,0,1.15,3.44,0.46,0.92,0,0,0,0,0,0,1.38,0.46,0.23,0.92,0,0,0.46,0.46,0,0,0.46,0,0,0,0,0,0.92,0.46,0.46,0,0,0,0.69,1.61,6.19,11.01,0.92,0.46,7.8,0.69,0,1.61,6.19,10.32,0.46,0.46,0,0,0,0,0,9.86,5.96,2.75,0,0,1.15,0,0
male_int_agr_con_neu_clo_run2.txt,1,389,37.33,2.57,98.08,72.57,14.96,21.85,95.37,73.52,59.64,15.94,15.42,14.65,0,0,0,0.51,0.51,13.37,5.91,0.51,14.14,9,6.17,9.51,0.26,15.42,7.97,2.83,6.43,2.31,3.86,0.26,9,0.77,8.23,2.83,0.51,1.03,2.31,0,2.06,0,9,6.17,2.83,3.86,1.54,2.31,1.54,0.26,0.51,0,11.83,5.14,2.06,0,0.51,0,1.8,5.66,2.06,0.26,0,0,0.51,0,0,0.51,6.17,2.31,0.51,2.57,0.77,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0.26,0,0,0.51,1.8,5.4,9.77,0.77,1.03,6.43,0,1.29,0.26,3.6,10.8,0.26,0.51,0,0,0,0,0,13.88,6.68,7.2,0,0,0,0,0
male_ext_agr_unc_neu_ope_run2.txt,1,407,10.41,3.86,97.28,97.15,16.28,16.46,96.56,80.34,63.39,16.95,13.02,11.79,0.25,0,0,0.49,3.93,9.34,4.91,0.49,11.3,10.81,10.57,10.57,0.49,21.13,8.35,1.72,6.88,3.44,2.7,0.74,21.38,2.95,18.43,4.42,0.49,2.95,6.63,0,2.7,0.74,9.34,7.62,1.23,2.95,1.23,1.23,0.49,0,0.25,0,9.58,4.91,1.72,0,0,0.74,0.25,4.67,0.98,0.98,0,0,0.25,0.25,0,0,4.42,1.47,0.49,2.21,0.25,0,0.49,0.49,0,0,0.49,0,0,0,0,0,0.25,0.49,0,0.25,0,0.25,0,2.7,5.41,10.07,1.97,1.47,5.16,0.74,0.98,0.49,6.14,12.29,0,0.98,0,0,0,0,0,8.6,6.14,2.21,0,0,0,0.25,0
male_ext_ant_con_neu_clo_run1.txt,1,393,40.92,18.33,92.89,91.14,13.55,17.56,95.42,78.12,61.58,14.25,11.96,10.18,1.02,0.25,0,0.51,2.29,13.49,7.89,0.25,13.99,8.14,7.63,10.69,0.76,16.28,7.89,6.36,8.14,3.05,4.83,0.25,11.45,1.02,10.43,3.56,1.53,1.27,2.04,0,1.78,0.25,9.16,7.12,2.04,4.33,2.8,1.53,1.02,0.25,0.25,0,10.43,3.31,1.02,0,0.25,0,0.25,7.12,2.54,0.25,0,0,0,0,0,0,7.38,1.53,0.25,5.09,0.51,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.51,0,0.25,0,0.25,0,1.27,6.87,8.91,0.51,1.27,6.11,0.51,0,1.27,4.58,9.67,0.76,0,0,0,0,0,0,10.18,7.38,2.54,0,0,0.25,0,0
male_int_ant_unc_neu_clo_run3.txt,1,458,30.89,1.49,99,13.25,17.62,17.69,96.07,78.17,63.54,15.72,13.1,12.66,0,0,0,0.22,2.62,12.45,6.33,0,14.41,9.39,8.52,9.83,0.44,18.12,7.64,3.49,4.8,0.87,2.4,1.75,13.1,0.22,12.88,5.02,0.87,1.09,3.28,0.44,2.4,0,6.11,2.62,3.28,2.84,0.44,2.18,1.31,0.66,0,0,6.11,2.84,0.22,0,0.44,0.22,0.87,2.62,1.53,0,0,0,0,0,0,0,1.97,0.44,0.44,0.66,0.44,0,0.87,0.66,0,0,0.22,0,0,0,0,0,0,0.66,0.22,0,0,0,0,0.87,6.55,13.54,0,0.87,7.42,1.75,0.22,2.62,4.59,12.23,0,0,0,0,0,0,0,8.95,5.68,2.62,0,0,0.44,0.22,0
